海康扫描器通讯协议说明,Unnamed: 1
项目,约定
连接角色,上位机为 TCP Client，读码器为 TCP Server
网络协议,TCP / IPv4
默认端口,2001
字符编码,ASCII
触发命令,start
发送字节,73 74 61 72 74（ASCII 的 start）
命令结束符,不附加 CR、LF 或其他结束符
读取超时,默认 1000 ms，最低 200 ms
成功条码,ASCII 文本，去除首尾空白后必须为 35 个字符
示例响应,M5P0BBBBWVADAC1104553B30L63P2114732
